school_roll_number,school_name,school_total_pupils,school_is_deis,school_latitude,school_longitude,total_points_collected,total_school_day_points_collected,total_midterm_points_collected,N02_overall,N02_school_days_200m,N02_midterm_days_200m,N02_school_days_200m_diff,07:30-_school,07:30-09:30_school,09:30-13:00_school,13:00-15:10_school,15:10+_school,07:30-_midterm,07:30-09:30_midterm,09:30-13:00_midterm,13:00-15:10_midterm,15:10+_midterm
17977T,SCOIL AINE CONVENT SENIOR,363,N,53.3783439,-6.1773997,1654,1649,5,9.745898,9.831878,-0.08598,9.917858,,28.053835,21.693458,-4.536155,10.50003,,,-26.2756,,
17978V,NAISCOIL IDE,379,N,53.3779098,-6.178314,1564,1564,0,0.480471,0.480471,0,0.480471,,29.75975,19.097757,-10.396703,6.65543,,,,,
18137D,SN NAOMH FEARGAL BOYS SENIOR,153,Y,53.3876137,-6.3067932,687,687,0,2.237511,2.237511,0,2.237511,,,-10.939389,3.065919,13.930248,,,,,
18170B,SN MUIRE NA FREASTOGALA GIRLS SEN,243,N,53.3232154,-6.3323548,1536,1536,0,14.304964,14.304964,0,14.304964,,64.745352,16.031924,13.948778,10.582024,,,,,
18205R,S N AN PHAROISTE,62,Y,53.3883596,-6.3035023,957,957,0,3.308085,3.308085,0,3.308085,,,-12.004506,5.95617,15.726683,,,,,
18282M,SN PAROISTE MAITIU NFA,223,N,53.3373327,-6.2211561,6880,6824,56,6.886122,6.52541,0.360712,6.164698,,1.743405,-2.244843,37.119782,11.351708,,33.5195,,,
18360G,SCOIL BHREANDAIN,157,Y,53.3842884,-6.1961926,502,502,0,12.574841,12.574841,0,12.574841,,,19.444741,13.507571,1.707825,,,,,
18361I,SN CAITRIONA GIRLS,177,Y,53.3849953,-6.1981399,38,38,0,43.865222,43.865222,0,43.865222,,,43.865222,,,,,,,
18362K,S N CAITRIONA NAIONAIN,248,Y,53.3851028,-6.1989158,18,18,0,18.537411,18.537411,0,18.537411,,,18.537411,,,,,,,
18386B,MARIST NATIONAL SCHOOL,283,Y,53.3260676,-6.2932641,483,483,0,7.782728,7.782728,0,7.782728,,,10.902758,-1.055885,19.498626,,,,,
18477E,SCOIL NA MBRATHAR,155,Y,53.3414328,-6.2735045,13160,12001,1159,21.629493,21.188679,0.440813,20.747866,37.355861,19.445585,23.255247,22.094411,29.205496,,,20.443481,1.359456,20.187416
18632N,S N EOIN BOSCO NAI BUAC,196,N,53.3683529,-6.3144301,457,457,0,38.573207,38.573207,0,38.573207,,,33.170954,43.243091,29.728541,,,,,
18646B,SPRINGDALE N S,242,N,53.3822925,-6.1795354,925,925,0,5.126626,5.126626,0,5.126626,,,14.431305,-3.784426,4.66343,,,,,
18682F,ST CANICES B N S,408,Y,53.3892302,-6.2920388,2307,2307,0,29.406019,29.406019,0,29.406019,,,10.521053,74.645479,16.826809,,,,,
18683H,ST CANICES G N S,486,Y,53.3894636,-6.2967774,3550,3550,0,24.207571,24.207571,0,24.207571,,,11.484426,40.582492,21.996074,,,,,
18726W,S N SEOSAMH NA MBRATHAR,125,Y,53.3639026,-6.2336681,2823,2800,23,40.404232,40.404232,0,40.404232,,42.068727,30.740842,61.823085,43.229493,,,,,
18817C,S N BRIGHDE,436,N,53.3218661,-6.2572303,1122,1122,0,-4.854166,-4.854166,0,-4.854166,,,-20.291419,4.042605,2.569418,,,,,
18910P,BANTIARNA NA MBUANNA BOYS,200,Y,53.3890528,-6.2682797,1412,1412,0,17.505003,17.505003,0,17.505003,,,7.869212,18.866321,34.70209,,,,,
18911R,BANTIARNA NA MBUANNA GIRLS,202,Y,53.38871,-6.266596,2386,2386,0,33.940353,33.940353,0,33.940353,,29.514682,23.027456,30.055289,74.017151,,,,,
18968A,ST MALACHYS B N S,160,Y,53.3881716,-6.1805702,658,658,0,-1.08046,-1.08046,0,-1.08046,,,18.688716,-10.3411,-4.230458,,,,,
18969C,ST EITHNES SENIOR GIRLS NS,87,Y,53.3895053,-6.1807765,746,746,0,12.191448,12.191448,0,12.191448,,,23.071692,-8.922246,16.640976,,,,,
19006Q,EOIN BAISDE B SOIS,334,N,53.3639162,-6.197803,693,693,0,3.788712,3.788712,0,3.788712,,,5.110692,-11.742069,5.394894,,,,,
19007S,EOIN BAISDE C NAOIDH,276,N,53.3636216,-6.1997731,683,683,0,4.27253,4.27253,0,4.27253,,,4.658456,-9.211352,5.633611,,,,,
19015R,ST JOSEPHS G N S,169,Y,53.3951771,-6.309877,805,805,0,7.327129,7.327129,0,7.327129,,-1.081444,0.964122,-1.556696,14.341068,,,,,
19037E,ST MONICAS N S,45,Y,53.3893635,-6.1805892,693,693,0,10.976136,10.976136,0,10.976136,,,22.876165,-9.108612,13.540256,,,,,
19197D,ST KEVINS B N S,169,Y,53.3960121,-6.3093259,720,720,0,7.299717,7.299717,0,7.299717,,4.73525,0.327323,-2.082741,15.32839,,,,,
19208F,HOLY SPIRIT B N S,337,Y,53.3959344,-6.2699076,287,287,0,0.137566,0.137566,0,0.137566,,,-3.347647,6.434715,,,,,,
19209H,SN AN SPIORAID NAIOMH C,308,Y,53.3956358,-6.2710978,267,267,0,-4.297293,-4.297293,0,-4.297293,,,-6.420078,0.213625,,,,,,
19242F,OUR LADY OF VICTORIES INFANT N S,233,Y,53.3886953,-6.2670763,1633,1633,0,25.493194,25.493194,0,25.493194,,-0.105,15.118038,25.250372,67.82109,,,,,
19297H,CROMCASTLE GREEN B N S,212,Y,53.3948577,-6.220007,1633,321,1312,-4.347415,0.94356,-5.290975,6.234535,,3.464866,4.056878,0.80989,28.565242,,,-6.453642,,
19298J,SCOIL NAIS IDE CAILINI,145,Y,53.3951573,-6.2199655,1689,373,1316,-4.077122,1.07191,-5.149033,6.220943,,1.407777,4.216747,0.926378,28.176794,,,-6.456724,,
19302U,SN NA MAIGHDINE MUIRE B,131,Y,53.3957116,-6.2604495,419,419,0,6.936218,6.936218,0,6.936218,,,4.26928,13.432606,,,,,,
19303W,VIRGIN MARY GIRLS NATIONAL SCHOOL,166,Y,53.3957788,-6.2610331,550,550,0,7.719068,7.719068,0,7.719068,,,5.3818,13.844324,,,,,,
19308J,ST BRIGIDS BOYS N S,350,N,53.3748068,-6.1954114,3830,3810,20,26.197534,26.27363,-0.076095,26.349725,,23.604423,32.070201,10.303579,28.455153,,,-12.3503,,
19309L,SCOIL NEASAIN,252,N,53.3821258,-6.1964247,587,587,0,6.773611,6.773611,0,6.773611,,-19.00175,18.377809,2.79405,-6.673109,,,,,
19406J,HOLY TRINITY SEN N S,381,N,53.3965438,-6.1612917,4429,3867,562,13.540206,13.996478,-0.456272,14.45275,,,15.46544,17.250692,19.346456,,,-3.594947,,
19431I,ST JOSEPHS JNR,154,Y,53.4013335,-6.2705818,952,952,0,5.714916,5.714916,0,5.714916,,,-1.576954,12.916542,,,,,,
19454U,DARNDALE NS JUNIOR,213,Y,53.401339,-6.193453,57,57,0,-8.956296,-8.956296,0,-8.956296,,,-8.956296,,,,,,,
19471U,ST PAULS JUNIOR NATIONAL SCHOOL,226,N,53.3949633,-6.1836297,372,372,0,-5.284864,-5.284864,0,-5.284864,,,-6.266299,-5.70029,1.886709,,,,,
19473B,SCOIL BHRIDE,410,N,53.3971796,-6.1611094,4004,3614,390,20.774817,20.540693,0.234123,20.30657,,,20.360876,29.889644,28.222901,,,2.402123,,
19489Q,SN NAOMH FINNIN,249,Y,53.3806108,-6.3121104,1077,1077,0,13.380546,13.380546,0,13.380546,,2.533714,8.415304,9.986634,27.36787,,,,,
19496N,SCOIL FHIACHRA SOISIR,652,N,53.3877539,-6.2262956,19,19,0,-0.687894,-0.687894,0,-0.687894,,,,,-0.687894,,,,,
19524P,OUR LADY IMMAC SEN N S,193,Y,53.4018005,-6.1934085,65,65,0,-9.342258,-9.342258,0,-9.342258,,,-9.342258,,,,,,,
19538D,ST KEVINS JUNIOR N S,197,N,53.3965638,-6.1578348,264,256,8,5.279543,4.97517,0.304373,4.670797,,,-0.658314,37.567945,,,,9.58775,,
19546C,ST OLIVER PLUNKETT N S,142,Y,53.3818496,-6.2997749,431,431,0,9.951293,9.951293,0,9.951293,,9.436512,-5.721611,14.875185,17.756718,,,,,
19583I,ST JOSEPHS SENIOR N S,138,Y,53.4013646,-6.2719084,538,538,0,6.727928,6.727928,0,6.727928,,,1.765416,11.525709,,,,,,
19589U,GAELSCOIL INSE CHOR,241,N,53.3440411,-6.311834,1210,1138,72,41.863464,40.035874,1.82759,38.208284,35.273571,48.059729,40.630261,52.778051,38.157037,,,17.532862,,60.022333
19611K,SCOIL NAOMH COLMCILLE,217,N,53.3967797,-6.1591405,549,518,31,23.316372,23.113096,0.203276,22.90982,,,17.036241,56.436521,,,,3.760607,,
