school_roll_number,school_name,school_total_pupils,school_is_deis,school_latitude,school_longitude,total_points_collected,total_school_day_points_collected,total_midterm_points_collected,PM25_overall,PM25_school_days_200m,PM25_midterm_days_200m,PM25_school_days_200m_diff,07:30-_school,07:30-09:30_school,09:30-13:00_school,13:00-15:10_school,15:10+_school,07:30-_midterm,07:30-09:30_midterm,09:30-13:00_midterm,13:00-15:10_midterm,15:10+_midterm
18282M,SN PAROISTE MAITIU NFA,223,N,53.3373327,-6.2211561,9973,9888,85,8.417473,8.367413,0.050060,8.317353,,10.081923,7.362622,9.384455,6.835024,,5.471894,,,
18360G,SCOIL BHREANDAIN,157,Y,53.3842884,-6.1961926,836,836,0,10.935621,10.935621,0.000000,10.935621,,7.954100,8.981334,2.599016,20.906974,,,,,
18361I,SN CAITRIONA GIRLS,177,Y,53.3849953,-6.1981399,53,53,0,10.145000,10.145000,0.000000,10.145000,,,10.145000,,,,,,,
18362K,S N CAITRIONA NAIONAIN,248,Y,53.3851028,-6.1989158,54,54,0,7.721296,7.721296,0.000000,7.721296,,,7.721296,,,,,,,
18386B,MARIST NATIONAL SCHOOL,283,Y,53.3260676,-6.2932641,805,805,0,7.643115,7.643115,0.000000,7.643115,,,7.910934,8.155758,6.106019,,,,,
18477E,SCOIL NA MBRATHAR,155,Y,53.3414328,-6.2735045,19621,18150,1471,8.615080,7.804219,0.810861,6.993358,11.208197,8.068912,9.022030,7.299897,8.979738,,,1.175069,11.337121,11.241730
18632N,S N EOIN BOSCO NAI BUAC,196,N,53.3683529,-6.3144301,755,755,0,7.863220,7.863220,0.000000,7.863220,,,6.749167,8.034265,15.326973,,,,,
18646B,SPRINGDALE N S,242,N,53.3822925,-6.1795354,1228,1228,0,10.401052,10.401052,0.000000,10.401052,,,7.603075,8.152702,17.324781,,,,,
18682F,ST CANICES B N S,408,Y,53.3892302,-6.2920388,4074,4074,0,6.229867,6.229867,0.000000,6.229867,,,5.621176,6.358496,7.294926,,,,,
18683H,ST CANICES G N S,486,Y,53.3894636,-6.2967774,6455,6455,0,5.606416,5.606416,0.000000,5.606416,,,5.135271,5.719054,6.312818,,,,,
18726W,S N SEOSAMH NA MBRATHAR,125,Y,53.3639026,-6.2336681,5291,5254,37,9.966867,9.872800,0.094067,9.778733,,10.657663,9.769440,10.370516,9.611968,,,13.271189,,
18817C,S N BRIGHDE,436,N,53.3218661,-6.2572303,2282,2262,20,4.231081,4.205789,0.025292,4.180497,,,3.845971,5.055969,3.354194,,,2.827650,,
18910P,BANTIARNA NA MBUANNA BOYS,200,Y,53.3890528,-6.2682797,2801,2801,0,7.148837,7.148837,0.000000,7.148837,,,6.686038,7.510077,6.470205,,,,,
18911R,BANTIARNA NA MBUANNA GIRLS,202,Y,53.38871,-6.266596,4383,4383,0,7.272499,7.272499,0.000000,7.272499,,7.121278,6.917992,7.905090,5.973416,,,,,
18968A,ST MALACHYS B N S,160,Y,53.3881716,-6.1805702,852,852,0,9.519206,9.519206,0.000000,9.519206,,,5.433321,8.558384,14.528822,,,,,
18969C,ST EITHNES SENIOR GIRLS NS,87,Y,53.3895053,-6.1807765,1259,1259,0,9.817885,9.817885,0.000000,9.817885,,,7.798749,10.110849,12.901866,,,,,
19006Q,EOIN BAISDE B SOIS,334,N,53.3639162,-6.197803,3583,3583,0,7.865899,7.865899,0.000000,7.865899,,,9.996161,3.810246,3.531226,,,,,
19007S,EOIN BAISDE C NAOIDH,276,N,53.3636216,-6.1997731,1172,1172,0,10.245613,10.245613,0.000000,10.245613,,,10.724735,7.488823,3.921568,,,,,
19015R,ST JOSEPHS G N S,169,Y,53.3951771,-6.309877,1129,1129,0,6.280054,6.280054,0.000000,6.280054,,6.936263,7.785377,4.325295,8.029814,,,,,
19037E,ST MONICAS N S,45,Y,53.3893635,-6.1805892,1139,1139,0,9.499138,9.499138,0.000000,9.499138,,,7.660788,9.518010,12.882125,,,,,
19197D,ST KEVINS B N S,169,Y,53.3960121,-6.3093259,1509,1509,0,6.478048,6.478048,0.000000,6.478048,,7.502117,8.098410,4.493705,8.218870,,,,,
19208F,HOLY SPIRIT B N S,337,Y,53.3959344,-6.2699076,643,643,0,6.511317,6.511317,0.000000,6.511317,,,7.003702,5.651227,,,,,,
19209H,SN AN SPIORAID NAIOMH C,308,Y,53.3956358,-6.2710978,485,485,0,6.496735,6.496735,0.000000,6.496735,,,6.923575,5.624145,,,,,,
19242F,OUR LADY OF VICTORIES INFANT N S,233,Y,53.3886953,-6.2670763,4225,4225,0,7.159560,7.159560,0.000000,7.159560,,7.123702,6.826963,7.737723,6.008648,,,,,
19297H,CROMCASTLE GREEN B N S,212,Y,53.3948577,-6.220007,1848,522,1326,9.679162,2.051881,7.627281,-5.575400,,,6.771687,7.055719,12.940983,,,10.388288,,
19298J,SCOIL NAIS IDE CAILINI,145,Y,53.3951573,-6.2199655,1933,602,1331,9.653299,2.301865,7.351433,-5.049568,,,6.852183,7.278691,12.822802,,,10.394739,,
19302U,SN NA MAIGHDINE MUIRE B,131,Y,53.3957116,-6.2604495,1052,1052,0,5.128055,5.128055,0.000000,5.128055,,,4.649669,6.418348,,,,,,
19303W,VIRGIN MARY GIRLS NATIONAL SCHOOL,166,Y,53.3957788,-6.2610331,968,968,0,5.103823,5.103823,0.000000,5.103823,,,4.639060,6.360996,,,,,,
19308J,ST BRIGIDS BOYS N S,350,N,53.3748068,-6.1954114,4678,4648,30,9.440257,9.391281,0.048975,9.342306,,6.132388,8.121582,12.968057,12.444525,,,7.633666,,
19309L,SCOIL NEASAIN,252,N,53.3821258,-6.1964247,1147,1147,0,12.485496,12.485496,0.000000,12.485496,,7.641757,8.869309,2.819754,20.125805,,,,,
19395H,SCOIL MOBHI,254,N,53.3734548,-6.2632061,1083,1083,0,6.548680,6.548680,0.000000,6.548680,,11.243368,6.091696,5.761589,9.171267,,,,,
19406J,HOLY TRINITY SEN N S,381,N,53.3965438,-6.1612917,5168,4556,612,9.855050,8.633050,1.221999,7.411051,,,10.100389,7.597445,11.597763,,,10.187323,,
19431I,ST JOSEPHS JNR,154,Y,53.4013335,-6.2705818,1261,1261,0,7.852904,7.852904,0.000000,7.852904,,,8.393541,7.195397,,,,,,
19454U,DARNDALE NS JUNIOR,213,Y,53.401339,-6.193453,88,88,0,8.646909,8.646909,0.000000,8.646909,,,8.646909,,,,,,,
19471U,ST PAULS JUNIOR NATIONAL SCHOOL,226,N,53.3949633,-6.1836297,611,611,0,7.188652,7.188652,0.000000,7.188652,,,7.261387,6.249694,8.699809,,,,,
19473B,SCOIL BHRIDE,410,N,53.3971796,-6.1611094,5113,4569,544,10.156510,9.051100,1.105409,7.945691,,,10.652891,8.010357,11.898801,,,10.294130,,
19489Q,SN NAOMH FINNIN,249,Y,53.3806108,-6.3121104,1740,1740,0,7.775001,7.775001,0.000000,7.775001,,7.531269,8.449920,6.899070,9.489513,,,,,
19496N,SCOIL FHIACHRA SOISIR,652,N,53.3877539,-6.2262956,23,23,0,8.160173,8.160173,0.000000,8.160173,,,,,8.160173,,,,,
